ao_type,title,description,cluster
services,ENTRETIEN DE L'ECLAIRAGE PUBLIC ET DE LA SIGNALISATION ROUTIERE LUMINEUSE,ENTRETIEN DE L'ECLAIRAGE PUBLIC ET DE LA SIGNALISATION ROUTIERE LUMINEUSE,5
services,"REALISATION DE CONTROLES PERIODIQUES D'ASSAINISSEMENT NON COLLECTIF
SUR LE TERRITOIRE DE LA COMMUNAUTE DE COMMUNES ARC SUD BRETAGNE",REALISATION DE CONTROLES PERIODIQUES D'ASSAINISSEMENT NON COLLECTIF SUR LE TERRITOIRE DE LA COMMUNAUTE DE COMMUNES ARC SUD BRETAGNE,6
services,Mission partielle d'urbaniste de ZAC - ZAC De Gaulle à Saint-Malo,Mission partielle d'urbaniste de ZAC - ZAC De Gaulle à Saint-Malo,6
supplies,Fourniture et livraison de pain pour les différents sites de restauration de la ville de Nanterre,Le présent marché a pour objet la fourniture et la livraison de pain pour les différents sites de restauration de la ville de Nanterre en particulier la zone Sud,5
works,"Lyon 2ème - Travaux d'aménagement de la Gare routière du Centre d'Échange Lyon Perrache
Lot 1 : Démolition - VRD - Gros oeuvre","Les lots travaux 2, 3, 4 et 5 sont lancés selon la procédure adaptée en application des articles R.2121-1 et R.2123-4 à R.2123-6 du CCP. Ces lots sont lancés conjointement sous la plate-forme de dématérialisation de la Métropole de Lyon en effectuant une recherche avec les mots clés suivants « Gare routière du Centre d'Échange Lyon Perrache» OU la référence 25-DPEB-012 sur la rubrique « Rechercher» de la page d'accueil. Les offres qui seront déposées dans la mauvaise consultation seront considérées comme inappropriées et non analysées. Pour sécuriser votre dépôt veiller à ce que votre offre soit déposée dans la consultation qui correspond",5
services,Lot 1 : Couverture - Etanchéité,Lot 1 : Couverture - Etanchéité,4
services,Lot 9 : Voirie - Clôture - Boîte aux lettres - Espaces verts,Lot 9 : Voirie - Clôture - Boîte aux lettres - Espaces verts,4
services,Lot 4 : Plomberie - Sanitaire - Chauffage,Lot 4 : Plomberie - Sanitaire - Chauffage,4
services,Lot 2 : Menuiserie - Serrurerie - Vitrerie,Lot 2 : Menuiserie - Serrurerie - Vitrerie,4
services,Lot 8 : Nettoyage Démoussage façade toiture,Lot 8 : Nettoyage Démoussage façade toiture,4
services,Lot 6 : Peintures - Sols - Faïence - Plâtrerie,Lot 6 : Peintures - Sols - Faïence - Plâtrerie,4
services,Lot 7 : Interphonie - Contrôle d'accès,Lot 7 : Interphonie - Contrôle d'accès,4
supplies,Fourniture et installation d?équipements sportifs,Fourniture et installation d?équipements sportifs,5
supplies,Fourniture de petits matériels sportifs,Fourniture de petits matériels sportifs,6
supplies,Fourniture de matériels de gymnastique,Fourniture de matériels de gymnastique,6
works,Second oeuvre,"Les travaux du présent lot comprennent la réalisation de : - 12 blocs portes coupe-feu - Un plafond de guidage accessible pour 920 m² - Du doublage acoustique, carrelage, revêtement de sol pour les locaux chauffeur et entretien (70m²)",4
works,Electricité - Courants forts et courants faibles,"Les travaux du présent lot comprennent la réalisation de : - Création d'installation de courants forts et courants faibles (SSI, vidéoprotection…) avec raccordements sur les réseaux existants de l'établissement. - Armoires électriques, distribution - Éclairage, SSI, anti-intrusion, contrôle d'accès - Local VDI",5
works,Chauffage - Ventilation - Climatisation - Plomberie,Les travaux du présent lot comprennent la réalisation de : - Chauffage électrique par split pour les locaux chauffeur et entretien - 2 toilettes et un point d'eau à créer,6
works,Sprinklage,Les travaux du présent lot comprennent la réalisation de : - Remaniage et complément sur l'installation de sprinklage déjà existante. - Déplacement des buses en face des nouvelles voiries,5
services,Lot n°01 : Cimetières de Lorient et ses alentours,Cimetières de Lorient et ses alentours,6
services,Lot n°02 : Cimetière et parking de Saint-Jean,Cimetière et parking de Saint-Jean,6
works,"Désamiantage, démolition, gros oeuvre, carrelages, clôtures","Désamiantage, démolition, gros oeuvre, carrelages, clôtures",6
works,"Menuiseries extérieures, serrureries","Menuiseries extérieures, serrureries",6
works,"Peintures, revêtement de sols souples","Peintures, revêtement de sols souples",6
works,Isolation thermique par l'extérieur et ravalement,Isolation thermique par l'extérieur et ravalement,6
works,"Voirie Réseaux Divers, clôtures, jeux d'enfants","Voirie Réseaux Divers, clôtures, jeux d'enfants",6
supplies,PRODUITS DE NETTOYAGE RESTAURATION COLLECTIVE,PRODUITS DE NETTOYAGE RESTAURATION COLLECTIVE,6
supplies,CONSOMMABLES HYGIÈNE ET ENTRETIEN,CONSOMMABLES HYGIÈNE ET ENTRETIEN,0
services,"Communes de la Balme de Thuy et Thônes - Requalification du site du Mémorial de Morette - Mission Ordonnancement, Pilotage et Coordination (OPC)","Les prestations donnent lieu à un marché ordinaire et font l'objet de 5 phases définies comme suit : - Phase n°1 : Prise en charge du dossier - Phase n°2 : Préparation du Dossier de Consultation des Entreprises - Phase n°3 : Préparation de chantier - Phase n°4 : Suivi du chantier - Phase n°5 : Réception, levée des réserves et garantie de parfait achèvement Le coût prévisionnel provisoire des travaux est estimé à 7 400 000 euro(s) HT (valeur novembre 2024). La durée des travaux est estimée à 82 semaines",2
supplies,Chariots de ménage modulables adaptés à la méthode par pré imprégnation,Chariots de ménage modulables adaptés à la méthode par pré imprégnation,6
supplies,Matériels de lavage mécanique sur batterie et secteur,Matériels de lavage mécanique sur batterie et secteur,6
supplies,Matériels de dépoussiérage mécanique,Matériels de dépoussiérage mécanique,6
services,Mission d'AMO relative au suivi de la convention sur l'aménagement du domaine skiable et l'exploitation des remontées mécaniques des Arcs et à l'accompagnement au renouvellement du mode d'exploitation du domaine montagne,Les prestations font l'objet d'une tranche ferme scindée en plusieurs phases ainsi que 4 tranches optionnelles,6
services,"Mission de maîtrise d oeuvre relative aux travaux de rénovation des courants forts, des courants faibles et d une partie du bâti du radar météorologique situé à Cherves (86)","Mission de maîtrise d oeuvre relative aux travaux de rénovation des courants forts, des courants faibles et d une partie du bâti du radar météorologique situé à Cherves (86)",5
services,Sécurité des évènements organisés par la Ville de Metz d'une jauge de 3000 à 5000 unités par manifestation ou par jour pour une même manifestation,Sécurité des évènements organisés par la Ville de Metz d'une jauge de 3000 à 5000 unités par manifestation ou par jour pour une même manifestation,6
services,Sécurité des évènements organisés par la Ville de Metz d'une jauge de 5000 à 15000 unités par manifestation ou par jour pour une même manifestation,Sécurité des évènements organisés par la Ville de Metz d'une jauge de 5000 à 15000 unités par manifestation ou par jour pour une même manifestation,6
services,Sécurité des évènements organisés par la Ville de Metz d'une jauge de 15000 à 50000 unités par manifestation ou par jour pour une même manifestation,Sécurité des évènements organisés par la Ville de Metz d'une jauge de 15000 à 50000 unités par manifestation ou par jour pour une même manifestation,6
services,Gardiennage de sites appartenant ou occupé par la Ville de Metz,Gardiennage de sites appartenant ou occupé par la Ville de Metz,5
services,Marché public d'exploitation du centre de tri des déchets ménagers recyclables de VALODEA à Charleville-Mézières,Marché public d'exploitation du centre de tri des déchets ménagers recyclables de VALODEA à Charleville-Mézières,6
services,"Prestations de location de bennes, de transport, de traitement des encombrants issus des 6 déchetteries intercommunales","Prestations de location de bennes, de transport, de traitement des encombrants issus des 6 déchetteries intercommunales",5
services,"Prestations de location de bennes, de transport, de traitement des déchets verts issus des 6 déchetteries intercommunales","Prestations de location de bennes, de transport, de traitement des déchets verts issus des 6 déchetteries intercommunales",5
services,"Prestations de location de bennes, de transport, de traitement du bois issus des 6 déchetteries intercommunales","Prestations de location de bennes, de transport, de traitement du bois issus des 6 déchetteries intercommunales",5
services,"Prestations de location de bennes, de transport, de traitement des gravats issus des 6 déchetteries intercommunales","Prestations de location de bennes, de transport, de traitement des gravats issus des 6 déchetteries intercommunales",5
services,"Prestations de location de bennes, de transport, de traitement de la ferraille issus des 6 déchetteries intercommunales","Prestations de location de bennes, de transport, de traitement de la ferraille issus des 6 déchetteries intercommunales",5
supplies,Lot n°1 : Cartes cadeaux multi-enseignes dématérialisées,Fourniture de cartes cadeaux multi-enseignes dématérialisées,6
supplies,Lot n°2 : Chèques cadeaux papier multi-enseignes,Fourniture de chèques cadeaux papier multi-enseignes,6
services,LOT 1 DE L'ACCORD-CADRE A BONS DE COMMANDE MULTI-ATTRIBUTAIRE RELATIF AU TRANSPORT DE PERSONNES EN AUTOCARS AVEC CHAUFFEURS POUR LES ACTIVITES OCCASIONNELLES DU CONSEIL DEPARTEMENTAL DES BOUCHES-DU-RHONE,LOT 1 DE L'ACCORD-CADRE A BONS DE COMMANDE MULTI-ATTRIBUTAIRE RELATIF AU TRANSPORT DE PERSONNES EN AUTOCARS AVEC CHAUFFEURS POUR LES ACTIVITES OCCASIONNELLES DU CONSEIL DEPARTEMENTAL DES BOUCHES-DU-RHONE,5
services,"Vidéoprotection : déploiement, entretien, réseau de transport informatique","Vidéoprotection : déploiement, entretien, réseau de transport informatique",5
services,LOT 1- VOLET FONCIER,LOT 1- VOLET FONCIER&amp;lt;br/&amp;gt;,4
services,LOT 2 - VOLET ENVIRONNEMENTAL DE L'ETUDE PREALABLE D'AMENAGEMENT,LOT 2 - VOLET ENVIRONNEMENTAL DE L'ETUDE PREALABLE D'AMENAGEMENT&amp;lt;br/&amp;gt;,4
supplies,Fourniture au numéro de journaux et périodiques français et étrangers pour les services des ministères économiques et financiers.,Fourniture au numéro de journaux et périodiques français et étrangers pour les services des ministères économiques et financiers.,1
